LAT,LONG
28.773457,77.112104
28.77342,77.111948
28.773335,77.111938
28.773173,77.111881
28.772964,77.111781
28.772733,77.11172
28.772526,77.111607
28.772153,77.111462
28.771786,77.111323
28.771548,77.111219
28.771124,77.111046
28.7708,77.110916
28.770394,77.110771
28.76985,77.110521
28.769438,77.110342
28.76887,77.110156
28.768606,77.110026
28.768314,77.109905
28.768037,77.109754
28.767498,77.10947
28.767182,77.109288
28.7668,77.109133
28.766357,77.108898
28.765894,77.108665
28.765307,77.108342
28.765077,77.108173
28.764869,77.108032
28.764568,77.107802
28.764146,77.107373
28.763836,77.106984
28.763662,77.106813
28.763436,77.106505
28.76415,77.105818
28.765462,77.104455
28.766007,77.103742
28.76762,77.101207
28.769406,77.097592
28.771257,77.093926
28.772618,77.09123
28.772652,77.090864
28.772918,77.090448
28.773111,77.09046
28.773192,77.090149
28.773368,77.08981
28.774056,77.088432
28.774768,77.086965
28.777215,77.083154
28.780883,77.078457
28.785446,77.072353
28.786028,77.072003
28.786407,77.072397
28.787255,77.071424
28.789384,77.068594
28.792346,77.064831
28.794656,77.061908
28.796364,77.059631
28.799442,77.055572
28.800022,77.054734
28.800477,77.054164
28.801366,77.052986
28.801961,77.052245
28.80255,77.051511
28.803262,77.05053
28.803747,77.049924
28.80432,77.04921
28.804749,77.048655
28.8052,77.048021
28.80529,77.047843
28.805411,77.047779
28.806058,77.048292
28.806536,77.048655
28.807843,77.050051
28.809884,77.052376
28.811038,77.053708
28.814963,77.058108
28.817124,77.06059
28.817725,77.061462
28.820475,77.065271
28.821573,77.066709
28.823621,77.068623
28.826505,77.071272
28.828394,77.07307
28.8289,77.073506
28.830108,77.074797
28.830886,77.075813
28.831444,77.07678
28.831807,77.077511
28.832059,77.078026
28.832402,77.078815
28.832659,77.079473
28.833021,77.080364
28.833303,77.081138
28.833401,77.081549
28.833566,77.082165
28.833916,77.08377
28.834059,77.08451
28.834405,77.087133
28.834632,77.08863
28.835115,77.090557
28.83589,77.093207
28.836695,77.095979
28.837159,77.097562
28.837521,77.098786
28.837729,77.099549
28.837844,77.099944
28.838013,77.100615
28.838395,77.101741
28.838682,77.10271
28.838893,77.103449
28.83966,77.105953
28.840649,77.109092
28.840816,77.109804
28.84141,77.112339
28.841466,77.114902
28.841621,77.117937
28.841562,77.124639
28.841499,77.126948
28.841533,77.127263
28.841167,77.127372
28.841056,77.127431
28.840546,77.1275
28.839529,77.127673
28.838632,77.127852
28.837838,77.128
28.837221,77.128116
28.836361,77.12828
28.835683,77.128394
28.835151,77.128528
28.834261,77.12875
28.833199,77.129087
28.832493,77.129317
28.831562,77.129681
28.830265,77.130002
28.829565,77.130208
28.828606,77.13051
28.82731,77.130893
28.825773,77.131403
28.823143,77.132224
28.821639,77.132667
28.81905,77.133485
28.818004,77.133793
28.816765,77.13413
28.815683,77.134453
28.81334,77.134954
28.811144,77.135631
28.810135,77.1315
28.809966,77.130333
28.80899,77.125908
28.808197,77.1224
28.807495,77.119324
28.806396,77.114679
28.805256,77.109311
28.804298,77.104611
28.803819,77.102981
28.803445,77.101475
28.803065,77.1015
28.801417,77.102062
28.80026,77.102553
28.797805,77.103501
28.795662,77.10439
28.789409,77.10669
28.786763,77.107703
28.780964,77.109897
28.777379,77.111265
28.776664,77.111582
28.774735,77.112299
28.773181,77.112925
28.77316,77.112901
